"Time","Interest","Cliche","Dumb","WTF","Funny"
"452","74","1","1","10","1"
"454","74","1","1","10","1"
"456","74","1","1","10","1"
"458","74","1","1","10","1"
"460","74","1","1","10","1"
"462","74","1","1","10","1"
"464","74","1","1","10","1"
"466","74","1","1","10","1"
"468","74","1","1","10","1"
"470","74","1","1","10","1"
"472","74","1","1","10","1"
"474","74","1","1","10","1"
"476","78","1","1","10","1"
"478","78","1","1","10","1"
"480","78","1","1","10","1"
"482","78","1","1","10","1"
"484","78","1","1","10","1"
"486","78","1","1","10","1"
"488","78","1","1","10","1"
"490","78","1","1","10","1"
"492","78","1","1","10","1"
"494","78","1","1","10","1"
"496","78","1","1","10","1"
"498","78","1","1","10","1"
"500","78","1","1","10","1"
"502","78","1","1","10","1"
"504","78","1","1","22","1"
"506","78","1","1","22","1"
"508","78","1","1","22","1"
"510","78","1","1","22","1"
"512","78","1","1","22","1"
"514","78","1","1","22","1"
"516","78","1","1","22","1"
"518","78","1","1","22","1"
"520","78","1","1","22","1"
"522","78","1","1","22","1"
"524","78","1","1","22","1"
"526","78","1","1","22","1"
"528","78","1","1","22","1"
"530","78","1","1","22","1"
"532","78","1","1","22","1"
"534","78","1","1","22","1"
"536","82","1","1","22","1"
"538","82","1","1","10","1"
"540","82","1","1","10","1"
"542","82","1","1","10","1"
"544","82","1","1","10","1"
"546","82","1","1","10","1"
"548","82","1","1","10","1"
"550","82","1","1","10","1"
"552","82","1","1","10","1"
"554","82","1","1","10","1"
"556","82","1","1","10","1"
"558","82","1","1","10","1"
"560","82","1","1","10","1"
"562","82","1","1","10","1"
"564","82","1","1","10","1"
"566","82","1","1","10","1"
"568","82","1","1","10","1"
"570","82","1","1","10","1"
"572","82","1","1","10","1"
"574","82","1","1","10","1"
"576","82","1","1","10","1"
"578","82","1","1","10","1"
"580","82","1","1","10","1"
"582","82","1","1","10","1"
"584","82","1","1","10","1"
"586","82","1","1","10","1"
"588","82","1","1","10","1"
"590","82","1","1","10","1"
"592","82","1","1","10","1"
"594","82","1","1","10","1"
"596","82","1","1","10","1"
"598","82","1","1","10","1"
"600","82","1","1","1","1"
"602","82","1","1","1","1"
"604","82","1","1","1","1"
"606","70","1","1","1","1"
"608","70","1","1","1","1"
"610","70","1","1","1","1"
"612","70","1","1","1","1"
"614","70","12","1","1","1"
"616","70","18","1","1","1"
"618","70","18","1","1","1"
"620","70","18","1","1","1"
"622","70","18","1","1","1"
"624","70","18","1","1","1"
"626","70","18","1","1","1"
"628","70","18","1","1","1"
"630","70","18","1","1","1"
"632","70","18","1","1","1"
"634","70","2","1","1","1"
"636","70","1","1","1","1"
"638","70","1","1","1","1"
"640","70","1","1","1","1"
"642","70","1","1","1","1"
"644","70","1","1","1","1"
"646","70","1","1","1","1"
"648","70","1","1","1","1"
"650","70","1","1","1","1"
"652","70","1","1","1","1"
"654","70","1","1","1","1"
"656","70","1","1","1","1"
"658","70","1","1","1","1"
"660","70","1","1","1","1"
"662","70","1","1","1","1"
"664","70","1","1","1","1"
"666","70","1","1","1","1"
"668","70","1","1","1","1"
"670","70","1","1","1","1"
"672","70","1","1","1","1"
"674","70","1","1","1","1"
"676","70","1","1","1","1"
"678","70","1","1","1","1"
"680","70","1","1","1","1"
"682","70","1","1","1","1"
"684","70","1","1","1","1"
"686","70","1","1","1","1"
"688","70","1","1","1","1"
"690","70","1","1","1","1"
"692","70","1","1","1","1"
"694","70","1","1","1","1"
"696","70","1","1","1","1"
"698","70","1","1","1","1"
"700","70","1","1","1","1"
"702","70","1","1","1","1"
"704","70","1","1","1","1"
"706","70","1","1","1","1"
"708","70","1","1","1","1"
"710","70","1","1","1","1"
"712","70","1","1","1","1"
"714","70","1","1","1","1"
"716","70","1","1","1","1"
"718","70","1","1","1","1"
"720","70","1","1","1","1"
"722","70","1","1","1","1"
"724","70","1","1","1","1"
"726","70","1","1","1","1"
"728","72","1","1","1","1"
"730","72","1","1","1","1"
"732","72","1","1","1","1"
"734","72","1","1","1","1"
"736","72","1","1","1","1"
"738","72","1","1","1","1"
"740","72","1","1","1","1"
"742","72","1","1","1","1"
"744","72","1","1","1","1"
"746","72","1","1","1","1"
"748","72","1","1","1","1"
"750","64","1","1","1","1"
"752","64","1","1","12","1"
"754","64","1","1","12","1"
"756","64","1","1","12","1"
"758","64","1","1","1","1"
"760","64","1","1","1","1"
"762","64","1","1","1","1"
"764","64","1","1","1","1"
"766","64","1","1","1","1"
"768","64","1","1","1","1"
"770","64","1","1","1","1"
"772","64","1","1","1","1"
"774","64","1","1","1","1"
"776","64","1","1","1","1"
"778","64","1","1","1","1"
"780","64","1","1","1","1"
"782","64","1","1","1","1"
"784","64","1","1","1","1"
"786","64","1","1","1","1"
"788","64","1","1","1","1"
"790","64","1","1","1","1"
"792","64","1","1","1","1"
"794","64","1","1","1","1"
"796","64","1","1","1","1"
"798","64","1","1","1","1"
"800","64","1","1","1","1"
"802","64","1","1","1","1"
"804","64","1","1","1","1"
"806","64","1","1","1","1"
"808","64","1","1","1","1"
"810","64","1","1","1","1"
"812","64","1","1","1","1"
"814","64","1","1","1","1"
"816","64","1","1","1","1"
"818","64","1","1","1","1"
"820","64","1","1","1","1"
"822","64","1","1","1","1"
"824","64","1","1","1","1"
"826","64","1","1","1","1"
"828","64","1","1","1","1"
"830","64","1","1","1","1"
"832","64","1","1","1","1"
"834","64","1","1","1","1"
"836","64","1","1","1","1"
"838","64","1","1","1","1"
"840","64","1","1","1","1"
"842","64","1","1","1","1"
"844","64","1","1","1","1"
"846","64","1","1","1","1"
"848","64","1","1","1","1"
"850","64","1","1","1","1"
"852","64","1","1","1","1"
"854","64","1","1","1","1"
"856","64","1","1","1","1"
"858","64","1","1","1","1"
"860","64","1","1","1","1"
"862","54","1","1","1","1"
"864","54","1","1","1","1"
"866","54","1","1","1","1"
"868","54","1","1","1","1"
"870","54","1","1","1","1"
"872","54","1","1","1","1"
"874","54","1","1","1","1"
"876","54","1","1","1","1"
"878","54","1","1","1","1"
"880","54","1","1","1","1"
"882","54","1","1","1","1"
"884","54","1","1","1","1"
"886","54","1","1","1","1"
"888","54","1","1","1","1"
"890","54","1","1","1","1"
"892","54","1","1","1","1"
"894","54","1","1","1","1"
"896","54","1","1","1","1"
"898","54","1","1","1","1"
"900","54","1","1","1","1"
"902","54","1","1","1","1"
"904","54","1","1","1","1"
"906","54","1","1","1","1"
"908","54","1","1","1","1"
"910","54","1","1","1","1"
"912","54","1","1","1","1"
"914","54","1","1","1","1"
"916","54","1","1","1","1"
"918","54","1","1","1","1"
"920","54","1","1","1","1"
"922","54","1","1","1","1"
"924","54","1","1","1","1"
"926","54","1","1","1","1"
"928","54","1","1","1","1"
"930","54","1","1","1","1"
"932","54","1","1","1","1"
"934","54","1","1","1","1"
"936","54","1","1","1","1"
"938","54","1","1","1","1"
"940","54","1","1","1","1"
"942","54","1","1","1","1"
"944","54","1","1","1","1"
"946","54","1","1","1","1"
"948","54","1","1","1","1"
"950","54","1","1","1","1"
"952","54","1","1","1","1"
"954","54","1","1","1","1"
"956","54","1","1","1","1"
"958","54","1","1","1","1"
"960","54","1","1","1","1"
"962","54","1","1","1","1"
"964","54","1","1","1","1"
"966","48","1","1","1","1"
"968","48","1","1","1","1"
"970","48","1","1","1","1"
"972","48","1","1","1","1"
"974","48","1","1","1","1"
"976","48","1","1","1","1"
