"Time","Interest","Cliche","Dumb","WTF","Funny"
"452","60","1","1","1","1"
"454","60","1","1","1","1"
"456","60","1","1","1","1"
"458","60","1","1","1","1"
"460","60","1","1","1","1"
"462","60","1","1","1","1"
"464","60","1","1","1","1"
"466","60","1","1","1","1"
"468","60","1","1","1","1"
"470","60","1","1","1","1"
"472","60","1","1","1","1"
"474","60","1","1","1","1"
"476","60","1","1","1","1"
"478","60","1","1","1","1"
"480","60","1","1","1","1"
"482","60","1","1","1","1"
"484","60","1","1","1","1"
"486","60","1","1","1","1"
"488","60","1","1","1","1"
"490","60","1","1","1","1"
"492","60","1","1","1","1"
"494","60","1","1","1","1"
"496","60","1","1","1","1"
"498","60","1","1","1","1"
"500","60","1","1","1","1"
"502","60","1","1","1","1"
"504","60","1","1","1","1"
"506","60","1","1","1","1"
"508","60","1","1","1","1"
"510","60","1","1","1","1"
"512","60","1","1","1","1"
"514","60","1","1","1","1"
"516","60","1","1","1","1"
"518","60","1","1","1","1"
"520","60","1","1","1","1"
"522","60","1","1","1","1"
"524","60","1","1","1","1"
"526","60","1","1","1","1"
"528","60","1","1","1","1"
"530","60","1","1","1","1"
"532","60","1","1","1","1"
"534","60","1","1","1","1"
"536","60","1","1","1","1"
"538","60","1","1","1","1"
"540","60","1","1","1","1"
"542","60","1","1","1","1"
"544","60","1","1","1","1"
"546","60","1","1","1","1"
"548","60","1","1","1","1"
"550","60","1","1","1","1"
"552","60","1","1","1","1"
"554","60","1","1","1","1"
"556","60","1","1","1","1"
"558","60","1","1","1","1"
"560","60","1","1","1","1"
"562","60","1","1","1","1"
"564","60","1","1","1","1"
"566","60","1","1","1","1"
"568","60","1","1","1","1"
"570","60","1","1","1","1"
"572","60","1","1","1","1"
"574","60","1","1","1","1"
"576","60","1","1","1","1"
"578","60","1","1","1","1"
"580","62","1","1","1","1"
"582","62","1","1","1","1"
"584","62","1","1","1","1"
"586","62","1","1","1","1"
"588","62","1","1","1","1"
"590","62","1","1","1","1"
"592","62","1","1","1","1"
"594","62","1","1","1","1"
"596","62","1","1","1","1"
"598","62","1","1","1","1"
"600","62","1","1","1","1"
"602","62","1","1","1","1"
"604","62","1","1","1","1"
"606","62","1","1","1","1"
"608","62","1","1","1","1"
"610","62","1","1","1","1"
