"Time","Interest","Cliche","Dumb","WTF","Funny"
"1","1","1","1","1","1"
"2","1","1","1","1","1"
"4","1","1","1","1","1"
"6","1","1","1","1","1"
"8","1","1","1","1","1"
"10","1","1","1","1","1"
"12","28","1","1","1","1"
"14","32","1","1","1","1"
"16","32","1","1","1","1"
"18","32","1","1","1","1"
"20","32","1","1","1","1"
"22","32","1","1","1","1"
"24","32","1","1","1","1"
"26","36","1","1","1","1"
"28","40","1","1","1","1"
"30","40","1","1","1","1"
"32","40","1","1","1","1"
"34","40","1","1","1","1"
"36","40","1","1","1","1"
"38","40","1","1","1","1"
"40","40","1","1","1","1"
"42","40","1","1","1","1"
"44","40","1","1","1","1"
"46","40","1","1","1","1"
"48","40","1","1","1","1"
"50","40","1","1","1","1"
"52","40","1","1","1","1"
"54","40","1","1","1","1"
"56","40","1","1","1","1"
"58","40","1","1","1","1"
"60","40","1","1","1","1"
"62","40","1","1","1","1"
"64","40","1","1","1","1"
"66","40","1","1","1","1"
"68","40","1","1","1","1"
"70","40","1","1","1","1"
"72","40","1","1","1","1"
"74","40","1","1","1","1"
"76","40","1","1","1","1"
"78","40","1","1","1","1"
"80","40","1","1","1","1"
"82","40","1","1","1","1"
"84","40","1","1","1","1"
"86","40","1","1","1","1"
"88","40","1","1","1","1"
"90","40","1","1","1","1"
"92","40","1","1","1","1"
"94","40","1","1","1","1"
"96","42","1","1","1","1"
"98","42","1","1","1","1"
"100","42","1","1","1","1"
"102","42","1","1","1","1"
"104","42","1","1","1","1"
"106","42","1","1","1","1"
"108","42","1","1","1","1"
"110","42","1","1","1","1"
"112","42","1","1","1","1"
"114","42","1","1","1","1"
"116","42","1","1","1","1"
"118","42","1","1","1","1"
"120","42","1","1","1","1"
"122","42","1","1","1","1"
"124","42","1","1","1","1"
"126","42","1","1","1","1"
"128","42","1","1","1","1"
"130","42","1","1","1","1"
"132","42","1","1","1","1"
"134","44","1","1","1","1"
"136","50","1","1","1","1"
"138","50","1","1","1","1"
"140","50","1","1","1","1"
"142","50","1","1","1","1"
"144","50","1","1","1","1"
"146","50","1","1","1","1"
"148","50","1","1","1","1"
"150","50","1","1","1","1"
"152","50","1","1","1","1"
"154","50","1","1","1","1"
"156","50","1","1","1","1"
"158","50","1","1","1","1"
"160","50","1","1","1","1"
"162","50","1","1","1","1"
"164","50","1","1","1","1"
"166","50","1","1","1","1"
"168","50","1","1","1","1"
"170","50","1","1","1","1"
"172","50","1","1","1","1"
"174","50","1","1","1","1"
"176","50","1","1","1","1"
"178","50","1","1","1","1"
"180","50","1","1","1","1"
"182","50","1","1","1","1"
"184","50","1","1","1","1"
"186","50","1","1","1","1"
"188","50","1","1","1","1"
"190","50","1","1","1","1"
"192","50","1","1","1","1"
"194","50","1","1","1","1"
"196","50","1","1","1","1"
"198","50","1","1","1","1"
"200","50","1","1","1","1"
"202","50","1","1","1","1"
"204","50","1","1","1","1"
"206","50","1","1","1","1"
"208","50","1","1","1","1"
"210","50","1","1","1","1"
"212","50","1","1","1","1"
"214","50","1","1","1","1"
"216","50","1","1","1","1"
"218","50","1","1","1","1"
"220","50","1","1","1","1"
"222","50","1","1","1","1"
"224","50","1","1","1","1"
"226","50","1","1","1","1"
"228","50","1","1","1","1"
"230","50","1","1","1","1"
"232","54","1","1","1","1"
"234","54","1","1","1","1"
"236","54","1","1","1","1"
"238","54","1","1","1","1"
"240","54","1","1","1","1"
"242","54","1","1","1","1"
"244","54","1","1","1","1"
"246","54","1","1","1","1"
"248","54","1","1","1","1"
"250","54","1","1","1","1"
"252","54","1","1","1","1"
"254","54","1","1","1","1"
"256","54","1","1","1","1"
"258","54","1","1","1","1"
