"Time","0Interest","1Cliche","2Dumb","3Wtf","4Funny"
"452","70","1","1","1","1"
"454","70","1","1","1","1"
"456","70","1","1","1","1"
"458","70","1","1","1","1"
"460","70","1","1","1","1"
"462","70","1","1","1","1"
"464","70","1","1","1","1"
"466","70","1","1","1","1"
"468","70","1","1","1","1"
"470","70","1","1","1","1"
"472","70","1","1","1","1"
"474","70","1","1","1","1"
"476","72","1","1","1","1"
"478","72","1","1","1","1"
"480","72","1","1","1","1"
"482","72","1","1","1","1"
"484","72","1","1","1","1"
"486","72","1","1","1","1"
"488","72","1","1","1","1"
"490","72","1","1","1","1"
"492","72","1","1","1","1"
"494","72","1","1","1","1"
"496","72","1","1","1","1"
"498","72","1","1","1","1"
"500","72","1","1","1","1"
"502","72","1","1","1","1"
"504","72","1","1","1","1"
"506","72","1","1","1","1"
"508","72","1","1","1","1"
"510","72","1","1","1","1"
"512","72","1","1","1","1"
"514","72","1","1","1","1"
"516","72","1","1","1","1"
"518","72","1","1","1","1"
"520","72","1","1","1","1"
"522","76","1","1","1","1"
"524","76","1","1","1","1"
"526","76","1","1","1","1"
"528","76","1","1","1","1"
"530","76","1","1","1","1"
"532","76","1","1","1","1"
"534","76","1","1","1","1"
"536","76","1","1","1","1"
"538","76","1","1","1","1"
"540","76","1","1","1","1"
"542","76","1","1","1","1"
"544","76","1","1","1","1"
"546","76","1","1","1","1"
"548","78","1","1","1","1"
"550","78","1","1","1","1"
"552","78","1","1","1","1"
"554","78","1","1","1","1"
"556","78","1","1","1","1"
"558","78","1","1","1","1"
"560","78","1","1","1","1"
"562","78","1","1","1","1"
"564","78","1","1","1","1"
"566","78","1","1","1","1"
"568","78","1","1","1","1"
"570","78","1","1","1","1"
"572","78","1","1","1","1"
"574","78","1","1","1","1"
"576","78","1","1","1","1"
"578","78","1","1","1","1"
"580","78","1","1","1","1"
"582","78","1","1","1","1"
"584","78","1","1","1","1"
"586","78","1","1","1","1"
"588","78","1","1","1","1"
"590","78","1","1","1","1"
"592","78","1","1","1","1"
"594","78","1","1","1","1"
"596","78","1","1","1","1"
"598","78","1","1","1","1"
"600","78","1","1","1","1"
"602","78","1","1","1","1"
"604","78","1","1","1","1"
"606","78","1","1","1","1"
"608","78","1","1","1","1"
"610","78","1","1","1","1"
"612","78","1","1","1","1"
"614","78","1","1","1","1"
"616","78","1","1","1","1"
"618","78","1","1","1","1"
"620","78","1","1","1","1"
"622","78","1","1","1","1"
"624","78","1","1","1","1"
"626","78","1","1","1","1"
"628","78","1","1","1","1"
"630","78","1","1","1","1"
"632","78","1","1","1","1"
"634","78","1","1","1","1"
"636","78","1","1","1","1"
"638","78","1","1","1","1"
"640","78","1","1","1","1"
"642","78","1","1","1","1"
"644","78","1","1","1","1"
"646","78","1","1","1","1"
"648","78","1","1","1","1"
"650","78","1","1","1","1"
"652","78","1","1","1","1"
"654","78","1","1","1","1"
"656","78","1","1","1","1"
"658","80","1","1","1","1"
"660","80","1","1","1","1"
"662","80","1","1","1","1"
"664","80","1","1","1","1"
"666","80","1","1","1","1"
"668","80","1","1","1","1"
"670","80","1","1","1","1"
"672","80","1","1","1","1"
"674","80","1","1","1","1"
"676","80","1","1","1","1"
"678","80","1","1","1","1"
"680","80","1","1","1","1"
"682","80","1","1","1","1"
"684","80","1","1","1","1"
"686","80","1","1","1","1"
"688","80","1","1","1","1"
"690","80","1","1","1","1"
"692","80","1","1","1","1"
"694","80","1","1","1","1"
"696","80","1","1","1","1"
"698","80","1","1","1","1"
"700","80","1","1","1","1"
"702","80","1","1","1","1"
"704","80","1","1","1","1"
"706","80","1","1","1","1"
"708","80","1","1","1","1"
"710","80","1","1","1","1"
"712","80","1","1","1","1"
