"Time","0Interest","1Cliche","2Dumb","3Wtf","4Funny"
"0","0","0","0","0","0"
"2","0","0","0","0","0"
"4","26","0","0","0","0"
"6","26","0","0","0","0"
"8","26","0","0","0","0"
"10","26","0","0","0","0"
"12","26","0","0","0","0"
"14","26","0","0","0","0"
"16","26","0","0","0","0"
"18","26","0","0","0","0"
"20","26","0","0","0","0"
"22","26","0","0","0","0"
"24","26","0","0","0","0"
"26","26","0","0","0","0"
"28","26","0","0","0","0"
"30","26","0","0","0","0"
"32","26","0","0","0","0"
"34","26","0","0","0","0"
"36","26","0","0","0","0"
"38","26","0","0","0","0"
"40","26","0","0","0","0"
"42","26","0","0","0","0"
"44","26","0","0","0","0"
"46","26","0","0","0","0"
"48","26","0","0","0","0"
"50","36","0","0","0","0"
"52","36","0","0","0","0"
"54","36","0","0","0","0"
"56","36","0","0","0","0"
"58","36","0","0","0","0"
"60","36","0","0","0","0"
"62","36","0","0","0","0"
"64","36","0","0","0","0"
"66","36","0","0","0","0"
"68","44","0","0","0","0"
"70","44","0","0","0","0"
"72","44","0","0","0","0"
"74","44","0","0","0","0"
"76","44","0","0","0","0"
"78","44","0","0","0","0"
"80","44","0","0","0","0"
"82","44","0","0","0","0"
"84","44","0","0","0","0"
"86","44","0","0","0","0"
"88","44","0","0","0","0"
"90","44","0","0","0","0"
"92","44","0","0","0","0"
"94","44","0","0","0","0"
"96","44","0","0","0","0"
"98","44","0","0","0","0"
"100","44","0","0","0","0"
"102","44","0","0","0","0"
"104","44","0","0","0","0"
"106","44","0","0","0","0"
"108","44","0","0","0","0"
"110","44","0","0","0","0"
"112","44","0","0","0","0"
"114","44","0","0","0","0"
"116","44","0","0","0","0"
"118","44","0","0","0","0"
"120","44","0","0","0","0"
"122","56","0","0","0","0"
"124","56","0","0","0","0"
"126","56","0","0","0","0"
"128","56","0","0","0","0"
"130","56","0","0","0","0"
"132","56","0","0","0","0"
"134","56","0","0","0","0"
"136","56","0","0","0","0"
"138","56","0","0","0","0"
"140","56","0","0","0","0"
"142","56","0","0","0","0"
"144","56","0","0","0","0"
"146","56","0","0","0","0"
"148","56","0","0","0","0"
"150","56","0","0","0","0"
"152","56","0","0","0","0"
"154","56","0","0","0","0"
"156","56","0","0","0","0"
"158","56","0","0","0","0"
"160","56","0","0","0","0"
"162","56","0","0","0","0"
"164","56","0","0","0","0"
"166","56","0","0","0","0"
"168","56","0","0","0","0"
"170","56","0","0","0","0"
"172","56","0","0","0","0"
"174","56","0","0","0","0"
"176","56","0","0","0","0"
"178","56","0","0","0","0"
"180","56","0","0","0","0"
"182","56","0","0","0","0"
"184","60","0","0","0","0"
"186","60","0","0","0","0"
"188","60","0","0","0","0"
"190","60","0","0","0","0"
"192","60","0","0","0","0"
"194","60","0","0","0","0"
"196","60","0","0","0","0"
"198","60","0","0","0","0"
"200","60","0","0","0","0"
"202","60","0","0","0","0"
"204","60","0","0","0","0"
"206","60","0","0","0","0"
"208","60","0","0","0","0"
"210","60","0","0","0","0"
"212","60","0","0","0","0"
"214","60","0","0","0","0"
"216","60","0","0","0","0"
"218","60","0","0","0","0"
"220","60","0","0","0","0"
"222","60","0","0","0","0"
"224","60","0","0","0","0"
"226","60","0","0","0","0"
"228","60","0","0","0","0"
"230","60","0","0","0","0"
"232","60","0","0","0","0"
"234","60","0","0","0","0"
"236","60","0","0","0","0"
"238","60","0","0","0","0"
"240","60","0","0","0","0"
"242","60","0","0","0","0"
"244","60","0","0","0","0"
"246","60","0","0","0","0"
"248","60","0","0","0","0"
"250","60","0","0","0","0"
"252","60","0","0","0","0"
"254","60","0","0","0","0"
"256","60","0","0","0","0"
"258","60","0","0","0","0"
"260","60","0","0","0","0"
"262","60","0","0","0","0"
"264","60","0","0","0","0"
"266","60","0","0","0","0"
"268","60","0","0","0","0"
"270","60","0","0","0","0"
"272","60","0","0","0","0"
"274","60","0","0","0","0"
"276","60","0","0","0","0"
"278","60","0","0","0","0"
"280","60","0","0","0","0"
"282","60","0","0","0","0"
"284","60","0","0","0","0"
"286","60","0","0","0","0"
"288","60","0","0","0","0"
"290","60","0","0","0","0"
"292","60","0","0","0","0"
"294","60","0","0","0","0"
"296","60","0","0","0","0"
"298","60","0","0","0","0"
"300","60","0","0","0","0"
"302","60","0","0","0","0"
"304","60","0","0","0","0"
"306","60","0","0","0","0"
"308","60","0","0","0","0"
"310","60","0","0","0","0"
"312","60","0","0","0","0"
"314","60","0","0","0","0"
"316","60","0","0","0","0"
"318","60","0","0","0","0"
"320","60","0","0","0","0"
"322","60","0","0","0","0"
"324","60","0","0","0","0"
"326","60","0","0","0","0"
"328","60","0","0","0","0"
"330","60","0","0","0","0"
"332","60","0","0","0","0"
"334","60","0","0","0","0"
"336","60","0","0","0","0"
"338","60","0","0","0","0"
"340","60","0","0","0","0"
"342","60","0","0","0","0"
"344","60","0","0","0","0"
"346","60","0","0","0","0"
"348","60","0","0","0","0"
"350","60","0","0","0","0"
"352","60","0","0","0","0"
"354","60","0","0","0","0"
"356","60","0","0","0","0"
"358","60","0","0","0","0"
"360","60","0","0","0","0"
"362","60","0","0","0","0"
"364","60","0","0","0","0"
"366","60","0","0","0","0"
"368","60","0","0","0","0"
"370","60","0","0","0","0"
"372","60","0","0","0","0"
"374","60","0","0","0","0"
"376","60","0","0","0","0"
"378","60","0","0","0","0"
"380","60","0","0","0","0"
"382","60","0","0","0","0"
"384","60","0","0","0","0"
"386","60","0","0","0","0"
"388","60","0","0","0","0"
"390","60","0","0","0","0"
"392","60","0","0","0","0"
"394","60","0","0","0","0"
"396","60","0","0","0","0"
"398","60","0","0","0","0"
"400","60","0","0","0","0"
"402","60","0","0","0","0"
"404","60","0","0","0","0"
"406","60","0","0","0","0"
"408","60","0","0","0","0"
"410","60","0","0","0","0"
"412","60","0","0","0","0"
"414","64","0","0","0","0"
"416","64","0","0","0","0"
"418","64","0","0","0","0"
"420","64","0","0","0","0"
"422","64","0","0","0","0"
"424","64","0","0","0","0"
"426","64","0","0","0","0"
"428","64","0","0","0","0"
"430","64","0","0","0","0"
"432","64","0","0","0","0"
"434","64","0","0","0","0"
"436","64","0","0","0","0"
"438","64","0","0","0","0"
"440","64","0","0","0","0"
"442","64","0","0","0","0"
"444","64","0","0","0","0"
"446","64","0","0","0","0"
"448","64","0","0","0","0"
"450","64","0","0","0","0"
"452","64","0","0","0","0"
"454","64","0","0","0","0"
"456","64","0","0","0","0"
"458","64","0","0","0","0"
"460","64","0","0","0","0"
"462","64","0","0","0","0"
"464","64","0","0","0","0"
"466","64","0","0","0","0"
"468","64","0","0","0","0"
"470","64","0","0","0","0"
"472","64","0","0","0","0"
"474","64","0","0","0","0"
"476","64","0","0","0","0"
"478","64","0","0","0","0"
"480","68","0","0","0","0"
"482","68","0","0","0","0"
"484","68","0","0","0","0"
"486","68","0","0","0","0"
"488","68","0","0","0","0"
"490","68","0","0","0","0"
"492","68","0","0","0","0"
"494","68","0","0","0","0"
"496","68","0","0","0","0"
"498","68","0","0","0","0"
"500","68","0","0","0","0"
"502","68","0","0","0","0"
"504","68","0","0","0","0"
"506","68","0","0","0","0"
"508","68","0","0","0","0"
"510","68","0","0","0","0"
"512","68","0","0","0","0"
"514","68","0","0","0","0"
"516","68","0","0","0","0"
"518","68","0","0","0","0"
"520","68","0","0","0","0"
"522","68","0","0","0","0"
"524","68","0","0","0","0"
"526","68","0","0","0","0"
"528","68","0","0","0","0"
"530","68","0","0","0","0"
"532","68","0","0","0","0"
"534","68","0","0","0","0"
"536","68","0","0","0","0"
"538","68","0","0","0","0"
"540","68","0","0","0","0"
"542","68","0","0","0","0"
"544","68","0","0","0","0"
"546","68","0","0","0","0"
"548","68","0","0","0","0"
"550","68","0","0","0","0"
"552","68","0","0","0","0"
"554","68","0","0","0","0"
"556","68","0","0","0","0"
"558","68","0","0","0","0"
"560","68","0","0","0","0"
"562","68","0","0","0","0"
"564","68","0","0","0","0"
"566","68","0","0","0","0"
"568","68","0","0","0","0"
"570","68","0","0","0","0"
"572","68","0","0","0","0"
"574","68","0","0","0","0"
"576","68","0","0","0","0"
"578","68","0","0","0","0"
"580","68","0","0","0","0"
"582","68","0","0","0","0"
"584","68","0","0","0","0"
"586","68","0","0","0","0"
"588","68","0","0","0","0"
"590","68","0","0","0","0"
"592","68","0","0","0","0"
"594","68","0","0","0","0"
"596","68","0","0","0","0"
"598","68","0","0","0","0"
"600","68","0","0","0","0"
"602","68","0","0","0","0"
"604","68","0","0","0","0"
"606","68","0","0","0","0"
"608","68","0","0","0","0"
"610","68","0","0","0","0"
"612","68","0","0","0","0"
"614","68","0","0","0","0"
"616","68","0","0","0","0"
"618","68","0","0","0","0"
"620","68","0","0","0","0"
"622","68","0","0","0","0"
"624","68","0","0","0","0"
"626","68","0","0","0","0"
"628","68","0","0","0","0"
"630","68","0","0","0","0"
"632","68","0","0","0","0"
"634","68","0","0","0","0"
"636","68","0","0","0","0"
"638","68","0","0","0","0"
"640","68","0","0","0","0"
"642","68","0","0","0","0"
"644","68","0","0","0","0"
"646","68","0","0","0","0"
"648","68","0","0","0","0"
"650","68","0","0","0","0"
"652","68","0","0","0","0"
"654","68","0","0","0","0"
"656","68","0","0","0","0"
"658","68","0","0","0","0"
"660","68","0","0","0","0"
"662","68","0","0","0","0"
"664","68","0","0","0","0"
"666","68","0","0","0","0"
"668","68","0","0","0","0"
"670","68","0","0","0","0"
