"Time","0Interest","1Cliche","2Dumb","3Wtf","4Funny"
"452","54","1","1","1","1"
"454","54","1","1","1","1"
"456","54","1","1","1","1"
"458","54","1","10","1","1"
"460","54","1","10","1","1"
"462","54","1","10","1","1"
"464","54","1","10","1","1"
"466","54","1","10","1","1"
"468","54","1","10","1","1"
"470","54","1","10","1","1"
"472","54","1","10","1","1"
"474","54","1","10","1","1"
"476","54","1","10","1","1"
"478","54","1","10","1","1"
"480","54","1","10","1","1"
"482","54","1","10","1","1"
"484","54","1","10","1","1"
"486","54","1","10","1","1"
"488","54","1","10","1","1"
"490","54","1","10","1","1"
"492","54","1","10","1","1"
"494","54","1","10","1","1"
"496","54","1","10","1","1"
"498","54","1","10","1","1"
"500","54","1","10","1","1"
"502","54","1","10","1","1"
"504","54","1","10","1","1"
"506","54","1","10","1","1"
"508","54","1","10","1","1"
"510","54","1","1","1","1"
"512","54","1","1","1","1"
"514","54","1","1","1","1"
"516","54","1","1","1","1"
"518","54","1","1","1","1"
"520","54","1","1","1","1"
"522","54","1","1","1","1"
"524","54","1","1","1","1"
"526","54","1","1","1","1"
"528","54","1","1","1","1"
"530","54","1","1","1","1"
"532","54","1","1","1","1"
"534","54","1","1","1","1"
"536","54","1","1","1","1"
"538","54","1","1","1","1"
"540","54","1","1","1","1"
"542","54","1","1","1","1"
"544","54","1","1","1","1"
"546","54","1","1","1","1"
"548","54","1","1","1","1"
"550","54","1","1","1","1"
"552","54","1","1","1","1"
"554","54","1","1","1","1"
"556","54","1","1","1","1"
"558","44","1","1","1","1"
"560","50","1","1","1","1"
"562","50","1","1","1","1"
"564","50","1","1","1","1"
"566","50","1","1","1","1"
"568","50","1","1","1","1"
"570","50","1","1","1","1"
"572","50","1","1","1","1"
"574","50","1","1","1","1"
"576","50","1","1","1","1"
"578","50","1","1","1","1"
"580","50","1","1","1","1"
"582","50","1","1","1","1"
"584","50","1","1","1","1"
"586","50","1","1","1","1"
"588","50","1","1","1","1"
"590","50","1","1","1","1"
"592","50","1","1","1","1"
"594","50","1","1","1","1"
"596","50","1","1","1","1"
"598","50","1","1","1","1"
"600","50","1","1","1","1"
"602","50","1","1","1","1"
"604","50","1","1","1","1"
"606","50","1","1","1","1"
"608","50","1","1","1","1"
"610","50","1","1","1","1"
"612","50","1","1","1","1"
"614","50","1","1","1","1"
"616","50","1","1","1","1"
"618","50","1","1","1","1"
"620","50","1","1","1","1"
"622","50","1","1","1","1"
"624","50","1","1","1","1"
"626","50","1","1","1","1"
"628","50","1","1","1","1"
"630","50","1","1","6","1"
"632","50","1","1","6","1"
"634","50","1","1","1","1"
"636","50","1","1","1","1"
"638","50","1","1","1","1"
"640","50","1","1","1","1"
"642","50","1","1","1","1"
"644","50","1","1","1","1"
"646","50","1","1","1","1"
"648","50","1","1","1","1"
"650","50","1","1","1","1"
"652","50","1","1","1","1"
"654","50","1","1","1","1"
"656","50","1","1","1","1"
"658","50","1","1","1","1"
"660","50","1","1","1","1"
"662","50","1","1","1","1"
"664","50","1","1","1","1"
"666","50","1","1","1","1"
"668","50","1","1","1","1"
"670","50","1","1","1","1"
"672","50","1","1","1","1"
"674","50","1","1","1","1"
"676","50","1","1","1","1"
"678","50","1","1","1","1"
"680","50","1","1","1","1"
"682","50","1","1","1","1"
"684","50","1","1","1","1"
"686","50","1","1","1","1"
"688","50","1","1","1","1"
"690","50","1","1","1","1"
"692","50","1","1","1","1"
"694","50","1","1","1","1"
"696","50","1","1","1","1"
"698","50","1","1","1","1"
"700","50","1","1","1","1"
"702","50","1","1","1","1"
"704","50","1","1","1","1"
"706","50","1","1","1","1"
"708","50","1","1","1","1"
"710","50","1","1","1","1"
"712","50","1","1","1","1"
"714","50","1","1","1","1"
"716","50","1","1","1","1"
"718","50","1","1","1","1"
"720","50","1","1","1","1"
"722","50","1","1","1","1"
"724","50","1","1","1","1"
"726","50","1","1","1","1"
"728","50","1","1","1","1"
"730","54","1","1","1","1"
"732","54","1","1","1","1"
"734","54","1","1","1","1"
"736","54","1","1","1","1"
"738","54","1","1","1","1"
"740","54","1","1","1","1"
"742","54","1","1","1","1"
"744","54","1","1","1","1"
"746","54","1","1","1","1"
"748","54","1","1","1","1"
"750","54","1","1","1","1"
"752","54","1","1","1","1"
"754","54","1","1","1","1"
"756","54","1","1","1","1"
"758","54","1","1","1","1"
"760","54","1","1","1","1"
"762","54","1","1","1","1"
"764","54","1","1","1","1"
"766","54","1","1","1","1"
"768","54","1","1","1","1"
"770","54","1","1","1","1"
"772","54","1","1","1","1"
"774","54","1","1","1","1"
"776","54","1","1","1","1"
"778","54","1","1","1","1"
"780","54","1","1","1","1"
"782","54","1","1","1","1"
"784","54","1","1","1","1"
"786","54","1","1","1","1"
"788","54","1","1","1","1"
"790","54","1","1","1","1"
"792","54","1","1","1","1"
"794","54","1","1","1","1"
"796","54","1","1","1","1"
"798","54","1","1","1","1"
"800","54","1","1","1","1"
"802","54","1","1","1","1"
"804","54","1","1","1","1"
"806","54","1","1","1","1"
"808","54","1","1","1","1"
"810","54","1","1","1","1"
"812","54","1","1","1","1"
"814","54","1","1","1","1"
"816","54","1","1","1","1"
"818","54","1","1","1","1"
"820","54","1","1","1","1"
"822","54","1","1","1","1"
"824","54","1","1","1","1"
"826","54","1","1","1","1"
"828","54","1","1","1","1"
"830","54","1","1","1","1"
"832","54","1","1","1","1"
"834","54","1","1","1","1"
"836","54","1","1","1","1"
"838","54","1","1","1","1"
"840","54","1","1","1","1"
"842","54","1","1","1","1"
"844","54","1","1","1","1"
"846","54","1","1","1","1"
"848","54","1","1","1","1"
"850","54","1","1","1","1"
"852","54","1","1","1","1"
"854","54","1","1","1","1"
"856","54","1","1","1","1"
"858","54","1","1","18","1"
"860","54","1","1","18","1"
"862","60","1","1","18","1"
"864","60","1","1","18","1"
"866","60","1","1","1","1"
"868","60","1","1","1","1"
"870","60","1","1","1","1"
"872","60","1","1","1","1"
"874","60","1","1","1","1"
"876","60","1","1","1","1"
"878","60","1","1","1","1"
"880","60","1","1","1","1"
"882","60","1","1","1","1"
"884","60","1","1","1","1"
"886","60","1","1","1","1"
"888","60","1","1","1","1"
"890","60","1","1","1","1"
"892","60","1","1","1","1"
"894","60","1","1","1","1"
"896","60","1","1","1","1"
"898","60","1","1","1","1"
"900","60","1","1","1","1"
"902","60","1","1","1","1"
"904","60","1","1","1","1"
"906","60","1","1","1","1"
"908","60","1","1","1","1"
"910","60","1","1","1","1"
"912","60","1","1","1","1"
"914","60","1","1","1","1"
"916","60","1","1","1","1"
"918","60","1","1","1","1"
"920","60","1","1","1","1"
"922","60","1","1","1","1"
"924","60","1","1","1","1"
"926","60","1","1","1","1"
"928","60","1","1","1","1"
"930","60","1","1","1","1"
"932","60","1","1","1","1"
"934","60","1","1","1","1"
"936","60","1","1","1","1"
"938","60","1","1","1","1"
"940","60","1","1","1","1"
"942","60","1","1","1","1"
"944","60","1","1","1","1"
"946","60","1","1","1","1"
"948","60","1","1","1","1"
"950","60","1","1","1","1"
"952","60","1","1","1","1"
"954","60","1","1","1","1"
"956","60","1","1","1","1"
"958","60","1","1","1","1"
"960","60","1","1","1","1"
"962","60","1","1","1","1"
"964","60","1","1","1","1"
"966","60","1","1","1","1"
"968","60","1","1","1","1"
"970","60","1","1","1","1"
"972","60","1","1","1","1"
"974","60","1","1","1","1"
"976","60","1","1","1","1"
"978","60","1","1","1","1"
"980","60","1","1","1","1"
"982","60","1","1","1","1"
"984","60","1","1","1","1"
"986","60","1","1","1","1"
"988","60","1","1","1","1"
"990","60","1","1","1","1"
"992","60","1","1","1","1"
"994","60","1","1","1","1"
"996","60","1","1","1","1"
"998","60","1","1","1","1"
"1000","60","1","1","1","1"
"1002","60","1","1","1","1"
"1004","66","1","1","1","1"
"1006","66","1","1","1","1"
"1008","70","1","1","1","1"
"1010","70","1","1","1","1"
"1012","70","1","1","1","1"
"1014","70","1","1","1","1"
"1016","70","1","1","1","1"
"1018","70","1","1","1","1"
"1020","76","1","1","1","1"
"1022","76","1","1","1","1"
"1024","76","1","1","1","1"
"1026","76","1","1","1","1"
"1028","76","1","1","1","1"
"1030","76","1","1","1","1"
"1032","76","1","1","1","1"
"1034","76","1","1","1","1"
"1036","76","1","1","1","1"
"1038","76","1","1","1","1"
"1040","76","1","1","1","1"
"1042","76","1","1","1","1"
"1044","76","1","1","1","1"
"1046","76","1","1","1","1"
"1048","76","1","1","1","1"
"1050","76","1","1","1","1"
"1052","76","1","1","1","1"
"1054","76","1","1","1","1"
"1056","76","1","1","1","1"
"1058","76","1","1","1","1"
"1060","76","1","1","1","1"
"1062","76","1","1","1","1"
"1064","76","1","1","1","1"
"1066","76","1","1","1","1"
"1068","76","1","1","1","1"
"1070","76","1","1","1","1"
"1072","76","1","1","1","1"
"1074","76","1","1","1","1"
"1076","76","1","1","1","1"
"1078","76","1","1","1","1"
"1080","76","1","1","1","1"
"1082","76","1","1","1","1"
"1084","76","1","1","1","1"
"1086","76","1","1","1","1"
"1088","76","1","1","1","1"
"1090","64","1","1","1","1"
"1092","64","1","1","1","1"
"1094","64","1","1","1","1"
"1096","64","1","1","1","1"
"1098","64","1","1","1","1"
