"Time","0Interest","1Cliche","2Dumb","3Wtf","4Funny"
"1","1","1","1","1","1"
"2","1","1","1","1","1"
"4","1","1","1","1","1"
"6","1","1","1","1","1"
"8","1","1","1","1","1"
"10","1","1","1","1","1"
"12","1","1","1","1","1"
"14","1","1","1","1","1"
"16","1","1","1","1","1"
"18","14","1","1","1","1"
"20","14","1","1","1","1"
"22","14","1","1","1","1"
"24","14","1","1","1","1"
"26","14","1","1","1","1"
"28","46","1","1","1","1"
"30","46","1","1","1","1"
"32","46","1","1","1","1"
"34","54","1","1","1","1"
"36","54","1","1","1","1"
"38","54","1","1","1","1"
"40","54","1","1","1","1"
"42","58","1","1","1","1"
"44","58","1","1","1","1"
"46","58","1","1","1","1"
"48","58","1","1","1","1"
"50","58","1","1","1","1"
"52","58","1","1","1","1"
"54","58","1","1","1","1"
"56","58","1","1","1","1"
"58","60","1","1","1","1"
"60","60","1","1","1","1"
"62","60","1","1","1","1"
"64","60","1","1","1","1"
"66","60","1","1","1","1"
"68","60","1","1","1","1"
"70","60","1","1","1","1"
"72","60","1","1","1","1"
"74","60","1","1","1","1"
"76","60","1","1","1","1"
"78","60","1","1","1","1"
"80","60","1","1","1","1"
"82","60","1","1","1","1"
"84","60","1","1","1","1"
"86","60","1","1","1","1"
"88","60","1","1","1","1"
"90","60","1","1","1","1"
"92","60","1","1","1","1"
"94","60","1","1","1","1"
"96","60","1","1","1","1"
"98","66","1","1","2","1"
"100","66","1","1","14","1"
"102","66","1","1","14","1"
"104","66","1","1","1","1"
"106","66","1","1","1","1"
"108","66","1","1","1","1"
"110","66","1","1","1","1"
"112","66","1","1","1","1"
"114","66","1","1","1","1"
"116","66","1","1","1","1"
"118","66","1","1","1","1"
"120","66","1","1","1","1"
"122","66","1","1","1","1"
"124","66","1","1","1","1"
"126","66","1","1","1","1"
"128","66","1","1","1","1"
"130","66","1","1","1","1"
"132","66","1","1","1","1"
"134","66","1","1","1","1"
"136","66","1","1","1","1"
"138","66","1","1","1","1"
"140","66","1","1","1","1"
"142","66","1","1","1","1"
"144","66","1","1","1","1"
"146","66","1","1","1","1"
"148","66","1","1","1","1"
"150","66","1","1","1","1"
"152","66","1","1","1","1"
"154","66","1","1","1","1"
"156","66","1","1","1","1"
"158","66","1","1","1","1"
"160","66","1","1","1","1"
"162","66","1","1","1","1"
"164","66","1","1","1","1"
"166","66","1","1","1","1"
"168","66","1","1","1","1"
"170","66","1","1","1","1"
"172","66","1","1","1","1"
"174","66","1","1","1","1"
"176","66","1","1","1","1"
"178","66","1","1","1","1"
"180","66","1","1","1","1"
"182","66","1","1","1","1"
"184","66","1","1","1","1"
"186","66","1","1","1","1"
"188","66","1","1","1","1"
"190","66","1","1","1","1"
"192","66","1","1","1","1"
"194","66","1","1","1","1"
"196","66","1","1","1","1"
"198","66","1","1","1","1"
"200","66","1","1","1","1"
"202","66","1","1","1","1"
"204","66","1","1","1","1"
"206","66","1","1","1","1"
"208","66","1","1","1","1"
"210","66","1","1","1","1"
"212","66","1","1","1","1"
"214","66","1","1","1","1"
"216","66","1","1","1","1"
"218","66","1","1","1","1"
"220","66","1","1","1","1"
"222","66","1","1","1","1"
"224","66","1","1","1","1"
"226","66","1","1","1","1"
"228","62","1","1","1","1"
"230","66","1","1","1","1"
"232","66","1","1","1","1"
"234","66","1","1","1","1"
"236","66","1","1","1","1"
"238","66","1","1","1","1"
"240","66","1","1","1","1"
"242","66","1","1","1","1"
"244","66","1","1","1","1"
"246","66","1","1","1","1"
"248","66","1","1","1","1"
"250","66","1","1","1","1"
"252","66","1","1","1","1"
"254","66","1","1","1","1"
"256","66","1","1","1","1"
