"Time","0Interest","1Cliche","2Dumb","3Wtf","4Funny"
"0","0","0","0","0","0"
"2","20","0","0","0","0"
"4","20","0","0","0","0"
"6","32","0","0","0","0"
"8","32","0","0","0","0"
"10","32","0","0","0","0"
"12","32","0","0","0","0"
"14","32","0","0","0","0"
"16","32","0","0","0","0"
"18","32","0","0","0","0"
"20","32","0","0","0","0"
"22","32","0","0","0","0"
"24","32","0","0","0","0"
"26","32","0","0","0","0"
"28","32","0","0","0","0"
"30","32","0","0","0","0"
"32","40","0","0","0","0"
"34","42","0","0","0","0"
"36","42","0","0","0","0"
"38","42","0","0","0","0"
"40","42","0","0","0","0"
"42","42","0","0","0","0"
"44","42","0","0","0","0"
"46","42","0","0","0","0"
"48","42","0","0","0","0"
"50","42","0","0","0","0"
"52","42","0","0","0","0"
"54","42","0","0","0","0"
"56","42","0","0","0","0"
"58","42","0","0","0","0"
"60","42","0","0","0","0"
"62","42","0","0","0","0"
"64","48","0","0","0","0"
"66","48","0","0","0","0"
"68","48","0","0","0","0"
"70","48","0","0","0","0"
"72","48","0","0","0","0"
"74","48","0","0","0","0"
"76","48","0","0","0","0"
"78","48","0","0","0","0"
"80","48","0","0","0","0"
"82","48","0","0","0","0"
"84","48","0","0","0","0"
"86","48","0","0","0","0"
"88","48","0","0","0","0"
"90","48","0","0","0","0"
"92","48","0","0","0","0"
"94","48","0","0","0","0"
"96","48","0","0","0","0"
"98","48","0","0","0","0"
"100","48","0","0","0","0"
"102","48","0","0","0","0"
"104","48","0","0","0","0"
"106","48","0","0","0","0"
"108","48","0","0","0","0"
"110","48","0","0","0","0"
"112","48","0","0","0","0"
"114","52","0","0","0","0"
"116","54","0","0","0","0"
"118","54","0","0","0","0"
"120","54","0","0","0","0"
"122","54","0","0","0","0"
"124","54","0","0","0","0"
"126","54","0","0","0","0"
"128","54","0","0","0","0"
"130","54","0","0","0","0"
"132","54","0","0","0","0"
"134","54","0","0","0","0"
"136","54","0","0","0","0"
"138","54","0","0","0","0"
"140","54","0","0","0","0"
"142","54","0","0","0","0"
"144","54","0","0","0","0"
"146","54","0","0","0","0"
"148","54","0","0","0","0"
"150","54","0","0","0","0"
"152","54","0","0","0","0"
"154","54","0","0","0","0"
"156","54","0","0","0","0"
"158","54","0","0","0","0"
"160","54","0","0","0","0"
"162","54","0","0","0","0"
"164","54","0","0","0","0"
"166","54","0","0","0","0"
"168","54","0","0","0","0"
"170","54","0","0","0","0"
"172","54","0","0","0","0"
"174","54","0","0","0","0"
"176","54","0","0","0","0"
"178","54","0","0","0","0"
"180","54","0","0","0","0"
"182","54","0","0","0","0"
"184","54","0","0","0","0"
"186","54","0","0","0","0"
"188","54","0","0","0","0"
"190","54","0","0","0","0"
"192","54","0","0","0","0"
"194","54","0","0","0","0"
"196","54","0","0","0","0"
"198","54","0","0","0","0"
"200","54","0","0","0","0"
"202","54","0","0","0","0"
"204","54","0","0","0","0"
"206","54","0","0","0","0"
"208","54","0","0","0","0"
"210","54","0","0","0","0"
"212","54","0","0","0","0"
"214","54","0","0","0","0"
"216","54","0","0","0","0"
"218","54","0","0","0","0"
"220","54","0","0","0","0"
"222","54","0","0","0","0"
"224","54","0","0","0","0"
"226","54","0","0","0","0"
"228","54","0","0","0","0"
"230","54","0","0","0","0"
"232","54","0","0","0","0"
"234","54","0","0","0","0"
"236","54","0","0","0","0"
"238","54","0","0","0","0"
"240","54","0","0","0","0"
"242","54","0","0","0","0"
"244","54","0","0","0","0"
"246","56","0","0","0","0"
"248","56","0","0","0","0"
"250","56","0","0","0","0"
"252","56","0","0","0","0"
"254","56","0","0","0","0"
"256","56","0","0","0","0"
"258","56","0","0","0","0"
"260","56","0","0","0","0"
"262","56","0","0","0","0"
"264","56","0","0","0","0"
"266","56","0","0","0","0"
"268","56","0","0","0","0"
"270","56","0","0","0","0"
"272","56","0","0","0","0"
"274","56","0","0","0","0"
"276","56","0","0","0","0"
"278","56","0","0","0","0"
"280","56","0","0","0","0"
"282","56","0","0","0","0"
"284","56","0","0","0","0"
"286","56","0","0","0","0"
"288","56","0","0","0","0"
"290","56","0","0","0","0"
"292","56","0","0","0","0"
"294","56","0","0","0","0"
"296","56","0","0","0","0"
"298","56","0","0","0","0"
"300","56","0","0","0","0"
"302","56","0","0","0","0"
"304","56","0","0","0","0"
"306","56","0","0","0","0"
"308","56","0","0","0","0"
"310","56","0","0","0","0"
"312","56","0","0","0","0"
"314","56","0","0","0","0"
"316","56","0","0","0","0"
"318","56","0","0","0","0"
"320","56","0","0","0","0"
"322","56","0","0","0","0"
"324","56","0","0","0","0"
"326","56","0","0","0","0"
"328","56","0","0","0","0"
"330","56","0","0","0","0"
"332","56","0","0","0","0"
"334","56","0","0","0","0"
"336","56","0","0","0","0"
"338","56","0","0","0","0"
"340","56","0","0","0","0"
"342","56","0","0","0","0"
"344","56","0","0","0","0"
"346","56","0","0","0","0"
"348","56","0","0","0","0"
"350","56","0","0","0","0"
"352","56","0","0","0","0"
"354","56","0","0","0","0"
"356","56","0","0","0","0"
"358","56","0","0","0","0"
"360","56","0","0","0","0"
"362","56","0","0","0","0"
"364","56","0","0","0","0"
"366","56","0","0","0","0"
"368","56","0","0","0","0"
"370","56","0","0","0","0"
"372","56","0","0","0","0"
"374","56","0","0","0","0"
"376","56","0","0","0","0"
"378","60","0","0","0","0"
"380","60","0","0","0","0"
"382","60","0","0","0","0"
"384","60","0","0","0","0"
"386","60","0","0","0","0"
"388","60","0","0","0","0"
"390","60","0","0","0","0"
"392","60","0","0","0","0"
"394","60","0","0","0","0"
"396","60","0","0","0","0"
"398","60","0","0","0","0"
"400","60","0","0","0","0"
"402","60","0","0","0","0"
"404","60","0","0","0","0"
"406","60","0","0","0","0"
"408","60","0","0","0","0"
"410","60","0","0","0","0"
"412","60","0","0","0","0"
"414","60","0","0","0","0"
"416","60","0","0","0","0"
"418","60","0","0","0","0"
"420","60","0","0","0","0"
"422","60","0","0","0","0"
"424","60","0","0","0","0"
"426","60","0","0","0","0"
